314;##########Tabulka F133_mzddmn
0;dm;nzdm;dndm;td;nap_zp;nap_np;nap_sp;nap_ip;nap_pn;nap_up;nap_gf;nap_rf;br;rh;do;ne;ho;np;prn;prm;prv;prs;sa;ko;sax;su;au;suc;auc;dm1;dm2;dm3;dm4;datm
1;101;ZAKL.PLAT THP;;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0.0000;100;0;521;10;522;10;0;0;0;0;2019-05-23 10:06:29
1;104;CASOVA-PRIAMA;;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0.0000;100;0;521;10;522;10;0;0;0;0;2019-05-23 10:06:29
1;105;CASOVA-REZIJNA;;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0.0000;100;0;521;10;522;10;0;0;0;0;2019-05-23 10:06:29
1;107;UKOLOVA-PRIAMA;;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0.0000;100;0;521;10;522;10;0;0;0;0;2019-05-23 10:06:29
1;108;UKOLOVA-REZIJNA;;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0.0000;100;0;521;10;522;10;0;0;0;0;2019-05-23 10:06:29
1;110;ODMENA UCNICE;;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0.0000;100;0;521;10;522;10;0;0;0;0;2019-05-23 10:06:29
1;111;SPP;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0.0000;100;0;521;10;522;10;0;0;0;0;2019-05-23 10:06:29
1;118;OSOB.HOD.THP;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0.0000;100;0;521;10;522;10;0;0;0;0;2019-05-23 10:06:29
1;120;JEDNORAZ.MZDA;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0.0000;100;0;521;10;522;10;0;0;0;0;2019-05-23 10:06:29
1;121;VYP.SOC.FOND;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0.0000;100;0;441;10;441;10;0;0;0;0;2019-05-23 10:06:29
1;122;VYP.OSD 20;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0.0000;100;0;521;10;521;10;0;0;0;0;2019-05-23 10:06:29
1;130;ODSTUPNE;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0.0000;100;0;521;10;522;10;0;0;0;0;2019-05-23 10:06:29
1;131;Praca na dohodu;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0.0000;100;0;521;10;522;10;0;0;0;0;2019-05-23 10:06:29
1;132;Praca na dohodu;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0.0000;100;0;521;10;522;10;0;0;0;0;2019-05-23 10:06:29
1;133;DOHODY CUDZIE;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0.0000;100;0;521;10;522;10;0;0;0;0;2019-05-23 10:06:29
1;134;OSTATNE JEDNOR.;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0.0000;100;0;521;10;522;10;0;0;0;0;2019-05-23 10:06:29
1;150;Kon.Spol.Štat.P;;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0000;0;0;522;0;522;0;0;0;0;0;2019-05-23 10:06:29
1;151;Kon.Spol.Štat.N;;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0.0000;0;0;522;0;522;0;0;0;0;0;2019-05-23 10:06:29
1;201;NADCAS;;0;1;1;1;1;1;1;1;1;1;1;0;0;3;0;1;0;0;1;25.0000;20;0;521;20;522;20;0;0;0;0;2019-05-23 10:06:29
1;202;PRIPL.SOBOTA;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;1.4945;40;0;521;20;522;20;0;0;0;0;2019-05-23 10:06:29
1;203;PRIPL.NEDELA;;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;2.9890;40;0;521;20;522;20;0;0;0;0;2019-05-23 10:06:29
1;204;PRIPL.SVIATOK;;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;1;100.0000;20;0;521;20;522;20;0;0;0;0;2019-05-23 10:06:29
