215;##########Tabulka F73_uctdrdp
0;rdp;nrd;szd;crz;crd;crz1;crd1;crz2;crd2;crz3;crd3;rxx
1;1;Doklad nie je daòový pre DPH;0;0;0;0;0;0;0;0;;
1;10;Odvod-Vrátenie DPH;0;0;0;0;0;0;0;0;;
1;21;Daò na vstupe  TUZEMSKO DPH00% ;0;0;0;0;0;0;0;0;;
1;25;Daò na vstupe  TUZEMSKO DPH20%  ;20;0;23;0;0;0;0;0;B2;
1;27;Daò na vstupe  TUZEMSKO DPH20% paušál;20;0;100;0;;;;0;B2;
1;32;Dan na vstupe DOVOZ EU20%tovar, služby §69ods.2,9-12;20;9;21;0;;;;1;B1;
1;30;Daò na vstupe  TUZEMSKO DPH10% ;10;0;22;0;0;0;0;0;B2;
1;34;Daò na vstupe  DOVOZ EU DPH20% služby v EU  ;20;11;21;0;0;0;0;1;B1;
1;35;Daò na vstupe  DOVOZ EU DPH20% nákup v EU  ;20;7;21;0;0;0;0;1;B1;
1;40;Daò na vstupe  DOVOZ EU DPH10% nákup v EU;10;5;20;0;0;0;0;1;B1;
1;45;Daò na vstupe DOVOZ 3k DPH20%  ;20;0;25;1;0;0;0;0;;
1;51;Daò na výstupe TUZEMSKO DPH00% ;0;16;0;0;0;0;0;0;;
1;55;Daò na výstupe TUZEMSKO DPH20% ;20;3;4;0;0;0;0;0;A1;
1;60;Daò na výstupe TUZEMSKO DPH10% ;10;1;2;0;0;0;0;0;A1;
1;61;Daò na výstupe VÝVOZ EU DPH00% ;0;16;0;0;0;0;0;0;;
1;62;Daò na výstupe VÝVOZ SLUŽBY EU DPH00% ;0;15;0;0;0;0;0;0;;
1;63;Daò na výstupe VÝVOZ TROJSTRANNÝ DPH00% ;0;16;0;0;0;0;0;0;;
1;65;Daò na výstupe VÝVOZ DPH20% ;20;3;4;0;0;0;0;0;A1;
1;70;Daò na výstupe VÝVOZ EU DPH10% ;10;1;2;0;0;0;0;0;A1;
1;71;Daò na výstupe VÝVOZ 3k DPH00% ;0;17;0;0;0;0;0;0;;
1;82;Dan na vstupe DOVOZ EU20%tovar, služby §69ods.2,9-12;20;0;10;0;;;;1;;
1;84;Daò na výstupe DOVOZ EU DPH20% služby v EU ;20;0;12;0;0;0;0;1;;
1;85;Daò na výstupe DOVOZ EU DPH20% nákup v EU ;20;0;8;0;0;0;0;1;;
1;90;Daò na výstupe DOVOZ EU DPH10% nákup v EU ;10;0;6;0;0;0;0;1;;
1;125;Daò na vstupe 20% zjednodušená faktúra;20;0;23;0;0;0;0;0;B3;
1;130;Daò na vstupe 10% zjednodušená faktúra;10;0;22;0;0;0;0;0;B3;
1;155;Daò na výstupe 20% zjednodušená faktúra ERP;20;3;4;0;0;0;0;0;D1;
1;160;Daò na výstupe 10% zjednodušená faktúra ERP;10;1;2;0;0;0;0;0;D1;
1;165;Daò na výstupe 20% zjednodušená faktúra nie ERP;20;3;4;0;0;0;0;0;D2;
1;170;Daò na výstupe 10% zjednodušená faktúra nie ERP;10;1;2;0;0;0;0;0;D2;
1;225;Daò na vstupe 20% opravná faktúra;20;0;23;0;0;0;0;0;C2;
1;230;Daò na vstupe 10% opravná faktúra;10;0;22;0;0;0;0;0;C2;
1;255;Daò na výstupe 20% opravná faktúra;20;3;4;0;0;0;0;0;C1;
1;260;Daò na výstupe 10% opravná faktúra;10;1;2;0;0;0;0;0;C1;
1;335;Samozdanenie na vstupe  20% príjemca=platite¾ §69 ods. 12 písm.f-i;20;9;21;0;0;0;0;1;B1;
1;361;Daò na výstupe 0% príjemca=platite¾ §69 ods. 12 písm.f-i;0;0;0;0;0;0;0;0;A2;
1;371;Daò na výstupe 0% príjemca=platite¾ §69 ods. 12 písm.j;0;0;0;0;;;;0;A2;
1;385;Samozdanenie na výstupe 20% príjemca=platite¾ §69 ods. 12 písm.f-i;20;0;10;0;0;0;0;1;;
1;461;Daò na výstupe opravná faktúra 0% príjemca=platite¾ §69 ods. 12 písm.f;0;0;0;0;0;0;0;0;C1;
1;471;Daò na výstupe opravná faktúra 0% príjemca=platite¾ §69 ods. 12 písm.j;0;0;0;0;;;;0;C1;
