216;##########Tabulka F74_uctpohyby
0;cpoh;pohp;ucto;druh;uzk0;dzk0;uzk1;dzk1;uzk2;dzk2;udn1;ddn1;udn2;ddn2;hfak;hico;hstr;hzak;id;datm
1;1;tržbu v hotovosti za tovar;9;1;30;51;30;60;30;55;34300;0;34300;0;0;0;0;0;;2011-02-01 13:19:18
1;2;tržbu v hotovosti za výrobky,služby;9;1;31;51;31;60;31;55;34300;0;34300;0;0;0;0;0;;2011-02-01 13:19:18
1;3;tržbu v hotovosti ostatné;9;1;32;51;32;60;32;55;34300;0;34300;0;0;0;0;0;;2011-02-01 13:19:18
1;4;vklad v hotovosti podnikate¾a;9;1;42;1;42;1;42;1;42;0;42;0;0;0;0;0;;2008-12-27 22:57:03
1;5;úhradu v hotovosti odber.faktúry za tovar;9;1;60;1;60;1;60;1;34399;0;34399;0;0;0;0;0;;2008-12-27 22:57:03
1;6;úhradu v hotovosti odber.faktúry za výrobky,služby;9;1;61;1;61;1;61;1;34399;0;34399;0;0;0;0;0;;2008-12-27 22:57:03
1;7;úhradu v hotovosti odber.faktúry ostatné;9;1;62;1;62;1;62;1;34399;0;34399;0;0;0;0;0;;2008-12-27 22:57:03
1;50;nákup služieb v hotovosti;9;2;85;1;85;30;85;25;34300;0;34300;0;0;0;0;0;;2011-02-01 13:19:18
1;8;dotáciu pokladnice;9;1;26100;1;0;1;0;1;0;0;0;0;0;0;0;0;0;2014-07-11 10:50:46
1;51;nákup materiálu v hotovosti;9;2;2;1;2;30;2;25;34300;0;34300;0;0;0;0;0;;2011-02-01 13:19:18
1;52;nákup tovaru v hotovosti;9;2;3;1;3;30;3;25;34300;0;34300;0;0;0;0;0;;2011-02-01 13:19:18
1;53;vyplatenie èistých miezd;9;2;4;1;4;30;4;25;4;0;4;0;0;0;0;0;;2011-02-01 13:19:18
1;54;výdavok na réžiu v hotovosti;9;2;8;1;8;30;8;25;34300;0;34300;0;0;0;0;0;;2011-02-01 13:19:18
1;55;osobnú spotrebu v hotovosti;9;2;15;1;15;1;15;1;15;0;15;0;0;0;0;0;;2008-12-27 22:57:03
1;56;úhradu v hotovosti dodav.faktúry za tovar;9;2;22;1;22;1;22;1;34399;0;34399;0;0;0;0;0;;2008-12-27 22:57:03
1;57;úhradu v hotovosti dodav.faktúry za výrobky;9;2;23;1;23;1;23;1;34399;0;34399;0;0;0;0;0;;2008-12-27 22:57:03
1;58;úhradu v hotovosti dodav.faktúry ostatné;9;2;24;1;24;1;24;1;34399;0;34399;0;0;0;0;0;;2008-12-27 22:57:03
1;59;úhradu v hotovosti dodav.faktúry služby;9;2;25;1;25;1;25;1;34399;0;34399;0;0;0;0;0;;2008-12-27 22:57:03
1;60;odvod hotovosti na BU;9;2;26100;1;0;1;0;1;0;0;0;0;0;0;0;0;0;2014-07-11 10:50:46
1;101;odberate¾skú faktúru tuzemsko;9;11;0;51;0;60;0;55;34300;0;34300;0;0;0;0;0;;2011-02-01 13:19:18
1;102;odberate¾skú faktúru vývoz EU;9;11;0;51;0;70;0;65;34300;0;34300;0;0;0;0;0;;2011-02-01 13:19:18
1;103;odberate¾skú faktúru vývoz 3K;9;11;0;71;0;71;0;71;34300;0;34300;0;0;0;0;0;;2008-12-27 22:57:03
1;201;dodávate¾skú faktúru tuzemsko;9;12;0;1;0;30;0;25;34300;0;34300;0;0;0;0;0;;2011-02-01 13:19:18
1;204;dodávate¾skú faktúru dovoz 3K;9;12;0;49;0;49;0;45;34300;0;34300;0;0;0;0;0;;2011-02-01 13:19:18
1;281;dodávate¾ská faktúra dovoz EU - tovar;9;12;0;1;0;40;0;35;34300;0;34300;0;0;0;0;0;;2011-02-01 13:19:18
1;282;dodávate¾ská faktúra dovoz EU - služby;9;12;0;1;0;47;0;34;34300;0;34300;0;0;0;0;0;;2011-02-01 13:19:18
