216;##########Tabulka F2681_uctpohyby
0;cpoh;pohp;ucto;druh;uzk0;dzk0;uzk1;dzk1;uzk2;dzk2;udn1;ddn1;udn2;ddn2;hfak;hico;hstr;hzak;id;datm
1;1001;tržbu v hotovosti za tovar;0;1;60400;51;60400;60;60400;55;34300;0;34300;0;0;0;0;0;;2008-12-27 22:57:03
1;1002;tržbu v hotovosti z predaja služieb;0;1;60200;51;60400;60;60400;55;34300;0;34300;0;0;0;0;0;;2008-12-27 22:57:03
1;1003;tržbu v hotovosti za vlastné výrobky;0;1;60100;51;60100;60;60100;55;34300;0;34300;0;0;0;0;0;;2008-12-27 22:57:03
1;1004;vklad hotovosti do pokladnice;0;1;26100;1;26100;1;26100;1;26100;0;26100;0;0;0;0;0;;2008-12-27 22:57:03
1;1005;úhradu v hotovosti odber. faktúry;0;1;31100;1;31100;1;31100;1;31100;0;31100;0;0;0;0;0;;2008-12-27 22:57:03
1;1050;nákup materiálu v hotovosti;0;2;50100;1;50100;30;50100;25;34300;0;34300;0;0;0;0;0;;0000-00-00 00:00:00
1;1051;nákup PHM v hotovosti;0;2;50100;1;50100;30;50100;25;34300;0;34300;0;0;0;0;0;;2010-07-24 18:21:42
1;1052;nákup kancelárskych potrieb v hotovosti;0;2;50100;1;50100;30;50100;25;34300;0;34300;0;0;0;0;0;;2008-12-27 22:57:03
1;1053;poštovné v hotovosti;0;2;51800;1;51800;1;51800;1;21101;0;21101;0;0;0;0;0;;2008-12-27 22:57:03
1;1054;výdavok na ostatné služby v hotovosti;0;2;51800;1;51800;30;51800;25;34300;0;34300;0;0;0;0;0;;2008-12-27 22:57:03
1;1055;výber hotovosti z pokladnice;0;2;26100;1;26100;1;26100;1;26100;0;26100;0;0;0;0;0;;2008-12-27 22:57:03
1;1056;úhradu v hotovosti dodav. faktúry;0;2;32100;1;32100;1;32100;1;32100;0;32100;0;0;0;0;0;;2008-12-27 22:57:03
1;2001;odberate¾skú faktúru za tovar;0;11;60400;51;60400;60;60400;55;34300;0;34300;0;0;0;0;0;;2008-12-27 22:57:03
1;2003;odberate¾skú faktúru za predaj služieb;0;11;60200;51;60200;60;60200;55;34300;0;34300;0;0;0;0;0;;2008-12-27 22:57:03
1;2004;odberate¾skú faktúru za vlastné výrobky;0;11;60100;51;60100;60;60100;55;34300;0;34300;0;0;0;0;0;;2009-03-01 19:59:52
1;2010;odberate¾skú faktúru vývoz EÚ tovar;0;11;60400;61;60400;1;60400;1;34300;0;34300;0;0;0;0;0;;0000-00-00 00:00:00
1;2051;dodávate¾ská faktúra za tovar;0;12;13100;1;13100;30;13100;25;34300;0;34300;0;0;0;0;0;;2010-07-24 16:28:18
1;2055;dodávate¾skú faktúru za elektrinu;0;12;50200;1;50200;30;50200;25;34300;0;34300;0;0;0;0;0;;2010-07-24 16:33:04
1;2056;dodávate¾skú faktúru za nájomné;0;12;51800;1;51800;30;51800;25;34300;0;34300;0;0;0;0;0;;2010-07-24 16:38:40
1;2058;dodávate¾skú faktúru za telefóny, internet;0;12;51800;1;51800;30;51800;25;34300;0;34300;0;0;0;0;0;;2010-07-24 16:56:53
1;2059;dodávate¾skú faktúru za prepravu;0;12;51800;1;51800;30;51800;25;34300;0;34300;0;0;0;0;0;;2010-07-24 17:08:38
1;2060;dodávate¾ská faktúra - ostat. služby;0;12;51800;1;51800;30;51800;25;34300;0;34300;0;0;0;0;0;;0000-00-00 00:00:00
1;2081;dodávate¾ská faktúra dovoz EU - tovar;0;12;13100;1;13100;40;13100;35;34300;0;34300;0;0;0;0;0;;2009-03-01 19:59:52
1;2100;dodávate¾ská faktúra EU - tovar smzd 80/20;0;12;13200;1;13200;1;13200;337;34300;0;34300;0;0;0;0;0;;0000-00-00 00:00:00
