224;##########Tabulka F3001_uctosnova 
0;uce;nuc;crv;crs;pmd;pda;prm1;prm2;prm3;prm4;ucc
1;01100;Zriaïovacie náklady;0;4;0.00;0.00;0;0;;;1100
1;01200;Aktivované náklady na vıvoj;0;4;0.00;0.00;0;0;;;1200
1;01300;Softvér;0;5;0.00;0.00;0;0;;;1300
1;01400;Ocenite¾né práva;0;6;0.00;0.00;0;0;;;1400
1;01500;Goodwill;0;7;0.00;0.00;0;0;;;1500
1;01900;Ostatnı dlhodobı nehmotnı majetok;0;8;0.00;0.00;0;0;;;1900
1;02100;Stavby;0;13;0.00;0.00;0;0;;;2100
1;02200;Samostatné hnute¾né veci a súbory hnute¾nıch vecí;0;14;0.00;0.00;0;0;;;2200
1;02500;Pestovate¾ské celky trvalıch porastov;0;15;0.00;0.00;0;0;;;2500
1;02600;Základné stádo a ané zvieratá;0;16;0.00;0.00;0;0;;;2600
1;02900;Ostatnı dlhodobı hmotnı majetok;0;17;0.00;0.00;0;0;;;2900
1;03100;Pozemky;0;12;0.00;0.00;0;0;;;3100
1;03200;Umelecké diela a zbierky;0;17;0.00;0.00;0;0;;;3200
1;04100;Obstaranie dlhodobého nehmotného majetku;0;9;0.00;0.00;0;0;;;4100
1;04200;Obstaranie dlhodobého hmotného majetku;0;18;0.00;0.00;0;0;;;4200
1;04300;Obstaranie dlhodobého finanèného majetku;0;28;0.00;0.00;0;0;;;4300
1;05100;Poskytnuté preddavky na dlhodobı nehmotnı majetok;0;10;0.00;0.00;0;0;;;5100
1;05200;Poskytnuté preddavky na dlhodobı hmotnı majetok;0;19;0.00;0.00;0;0;;;5200
1;05300;Poskytnuté preddavky na dlhodobı finanènı majetok;0;29;0.00;0.00;0;0;;;5300
1;06100;Podielové cenné papiere a podiely v ovládanej osobe;0;22;0.00;0.00;0;0;;;6100
1;06200;Podielové cenné papiere a podiely v spoloènosti s podstatnım vplyvom;0;23;0.00;0.00;0;0;;;6200
1;06300;Realizovate¾né cenné papiere a podiely;0;24;0.00;0.00;0;0;;;6300
1;06500;Dlhové cenné papiere drané do splatnosti;0;24;0.00;0.00;0;0;;;6500
1;06600;Pôièky úètovnej jednotke  v konsolidovanom celku;0;25;0.00;0.00;0;0;;;6600
1;06700;Ostatné pôièky;0;27;0.00;0.00;0;0;;;6700
1;06900;Ostatnı dlhodobı finanènı majetok;0;26;0.00;0.00;0;0;;;6900
1;07100;Oprávky k zriaïovacím nákladom;0;4;0.00;0.00;0;0;;;7100
1;07200;Oprávky k aktivovanım nákladom na vıvoj;0;4;0.00;0.00;0;0;;;7200
1;07300;Oprávky k softvéru;0;5;0.00;0.00;0;0;;;7300
1;07400;Oprávky k ocenite¾nım právam;0;6;0.00;0.00;0;0;;;7400
1;07500;Oprávky ku goodwillu;0;7;0.00;0.00;0;0;;;7500
1;07900;Oprávky k ostatnému dlhodobému nehmotnému majetku;0;8;0.00;0.00;0;0;;;7900
1;08100;Oprávky k stavbám;0;13;0.00;0.00;0;0;;;8100
1;08200;Oprávky k samostatnım hnute¾nım veciam a k súboru hnute¾nıch vecí;0;14;0.00;0.00;0;0;;;8200
1;08500;Oprávky k pestovate¾skım celkom trvalıch porastov;0;15;0.00;0.00;0;0;;;8500
1;08600;Oprávky k základnému stádu a anım zvieratám;0;16;0.00;0.00;0;0;;;8600
1;08900;Oprávky k ostatnému dlhodobému hmotnému majetku;0;17;0.00;0.00;0;0;;;8900
1;09100;Opravná poloka k dlhodobému nehmotnému majetku;0;8;0.00;0.00;0;0;;;9100
1;09200;Opravná poloka k dlhodobému hmotnému majetku;0;17;0.00;0.00;0;0;;;9200
1;09300;Opravná poloka k nedokonèenému dlhodobému nehmotnému majetku;0;9;0.00;0.00;0;0;;;9300
1;09400;Opravná poloka k nedokonèenému dlhodobému hmotnému majetku;0;18;0.00;0.00;0;0;;;9400
1;09500;Opravná poloka k poskytnutım preddavkom na dlhodobı majetok;0;19;0.00;0.00;0;0;;;9500
1;09600;Opravná poloka k dlhodobému finanènému majetku;0;26;0.00;0.00;0;0;;;9600
1;09700;Opravná poloka k nadobudnutému majetku;0;20;0.00;0.00;0;0;;;9700
1;09800;Oprávky k opravnej poloke k nadobudnutému majetku;0;20;0.00;0.00;0;0;;;9800
1;11100;Obstaranie materiálu;0;32;0.00;0.00;0;0;;;11100
1;11200;Materiál na sklade;0;32;0.00;0.00;0;0;;;11200
1;11900;Materiál na ceste;0;32;0.00;0.00;0;0;;;11900
1;12100;Nedokonèená vıroba;0;33;0.00;0.00;0;0;;;12100
1;12200;Polotovary vlastnej vıroby;0;33;0.00;0.00;0;0;;;12200
