224;##########Tabulka F74_uctosnova 
0;uce;nuc;crv;crs;pmd;pda;prm1;prm2;prm3;prm4;ucc
1;0;Fakturácia;0;0;0.00;0.00;0;0;0;0;0
1;1;Poèiatoèný stav;0;0;0.00;0.00;1;2;0;0;1
1;2;Nákup materiálu;5;0;0.00;0.00;2;1;0;0;2
1;3;Nákup tovaru;5;0;0.00;0.00;2;1;0;0;3
1;4;Mzdy èisté vyplatené;7;0;0.00;0.00;2;1;0;0;4
1;5;Poistné za zamestnancov;8;0;0.00;0.00;2;1;0;0;5
1;6;Príspevok do FZ za zamestnancov;8;0;0.00;0.00;2;1;0;0;6
1;7;Preddavok na daò za zamestnancov;10;0;0.00;0.00;2;1;0;0;7
1;8;Prevádzková réžia;10;0;0.00;0.00;2;1;0;0;8
1;9;Poistné za firmu;8;0;0.00;0.00;2;1;0;0;9
1;10;Poddodávky;10;0;0.00;0.00;2;1;0;0;10
1;11;Ostatné výdavky daòové;10;0;0.00;0.00;2;1;0;0;11
1;12;Nákup dlhodobého majetku;0;0;0.00;0.00;2;2;0;0;12
1;13;Daò z príjmu za firmu;0;0;0.00;0.00;2;2;0;0;13
1;14;Výdavky na rezervy;0;0;0.00;0.00;2;2;0;0;14
1;15;Osobná spotreba;0;0;0.00;0.00;2;2;0;0;15
1;16;Splátky úverov;0;0;0.00;0.00;2;2;0;0;16
1;17;Ostatné výdavky nedaòové;0;0;0.00;0.00;2;2;0;0;17
1;18;Zákoné úraz.poist.zamestnancov;10;0;0.00;0.00;2;1;0;0;18
1;19;Technické zhodnotenie majetku;0;0;0.00;0.00;2;2;0;0;19
1;22;Dodávate¾ská faktúra Nákup materiálu;5;0;0.00;0.00;2;1;0;0;22
1;23;Dodávate¾ská faktúra Nákup tovaru;5;0;0.00;0.00;2;1;0;0;23
1;24;Dodávate¾ská faktúra Ostatné;5;0;0.00;0.00;2;1;0;0;24
1;25;Dodávate¾ská faktúra služby;6;0;0.00;0.00;2;1;;;25
1;26;Prídel do SF;9;0;0.00;0.00;2;1;0;0;26
1;27;DPFO preddavky;0;0;0.00;0.00;2;2;0;0;27
1;28;Daò z úrokov;0;0;0.00;0.00;2;2;0;0;28
1;30;Tržba tovar;1;0;0.00;0.00;1;1;0;0;30
1;31;Tržba výrobky a služby;2;0;0.00;0.00;1;1;0;0;31
1;32;Tržba ostatná danená;3;0;0.00;0.00;1;1;0;0;32
1;40;Nedanený príjem (zraz.zdr.);0;0;0.00;0.00;1;2;0;0;40
1;41;Úver,dotácia,pôžièky;0;0;0.00;0.00;1;2;0;0;41
1;42;Vklad podnikate¾a;0;0;0.00;0.00;1;2;0;0;42
1;43;Ostatné nedanené príjmy;0;0;0.00;0.00;1;2;0;0;43
1;50;DPH zaplatené správcovi;0;0;0.00;0.00;2;2;0;0;50
1;54;DPH vrátené zákazníkovi;0;0;0.00;0.00;2;2;0;0;54
1;55;DPH prijatá od správcu;0;0;0.00;0.00;1;2;0;0;55
1;60;Odberate¾ská faktúra tovar;1;0;0.00;0.00;1;1;0;0;60
1;61;Odberate¾ská faktúra výrobky a služby;2;0;0.00;0.00;1;1;0;0;61
1;62;Odberate¾ská faktúra ostatné;3;0;0.00;0.00;1;1;0;0;62
1;63;Úroky z BU v banke;3;0;0.00;0.00;1;1;0;0;63
1;64;Úroky z termínovaných vkladov;3;0;0.00;0.00;1;1;0;0;64
1;65;Tvorba soc.fondu;0;0;0.00;0.00;1;2;0;0;65
1;72;Reprezentaèné;0;0;0.00;0.00;2;2;0;0;72
1;75;Telefón;10;0;0.00;0.00;2;1;0;0;75
1;76;Elektrina,plyn,voda;10;0;0.00;0.00;2;1;0;0;76
1;78;Nájom;10;0;0.00;0.00;2;1;0;0;78
1;80;Príspevok zamestnancom zo SF;0;0;0.00;0.00;2;2;0;0;80
1;81;Daò z príspevku zo SF;0;0;0.00;0.00;2;2;0;0;81
1;82;Zúètovanie splátok úveru;0;0;0.00;0.00;1;2;0;0;82
1;83;Leasingové splátky;0;0;0.00;0.00;2;2;0;0;83
1;84;Èas.rozl.leas.splátok;10;0;0.00;0.00;2;1;0;0;84
1;85;Nákup služieb;6;0;0.00;0.00;2;1;;;85
1;90;Odpisy majetku;10;0;0.00;0.00;2;1;0;0;90
1;21100;Pokladnica;0;10;0.00;0.00;0;0;0;0;21100
1;21101;Pokladnica 1;0;10;0.00;0.00;0;0;0;0;21101
1;21102;Pokladnica 2;0;10;0.00;0.00;0;0;0;0;21102
1;22100;Bankový úèet 1;0;11;0.00;0.00;0;0;0;0;22100
1;22102;Bankový úèet 2;0;11;0.00;0.00;0;0;0;0;22102
1;26100;Priebežná položka;0;13;0.00;0.00;0;0;0;0;26100
1;31100;Odberatelia;0;8;0.00;0.00;0;0;0;0;31100
1;32100;Dodávatelia;0;17;0.00;0.00;0;0;0;0;32100
1;34300;DPH do priznania DPH;0;0;0.00;0.00;0;0;0;0;34300
1;34399;DPH zo zaplatenych faktur;0;0;0.00;0.00;0;0;0;0;34399
1;39500;Vnútorné zúètovanie;0;0;0.00;0.00;0;0;0;0;39500
